Time resolution is 1 ps
[0] Generating.... | Completed:           0 | Instruction amounts require:         100
Time: 1355 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1365000] Saving Write Back Output         0
[1375000] Saving Write Back Output         0
[1385000] Saving Write Back Output        28
[1395000] Saving Write Back Output         8
[1405000] Saving Write Back Output         1
[1415000] Saving Write Back Output         6
[1425000] Saving Write Back Output         4
[1435000] Saving Write Back Output         0
[1445000] Saving Write Back Output         0
[1455000] Saving Write Back Output         1
[1465000] Saving Write Back Output         0
[1475000] Saving Write Back Output         0
[1485000] Saving Write Back Output         1
[1495000] Saving Write Back Output         0
[1505000] Saving Write Back Output         3
[1515000] Saving Write Back Output         2
[1525000] Saving Write Back Output        18
[1535000] Saving Write Back Output        64
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1535 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1545 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1545000] Saving Write Back Output        25
[1555000] Saving Write Back Output      1320
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1555 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1565 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1565000] Saving Write Back Output         0
[1575000] Saving Write Back Output         0
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1585 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
[1585000] Saving Write Back Output         1
[1595000] Saving Write Back Output        16
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1595 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1595 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1605 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1605000] Saving Write Back Output        29
[1615000] Saving Write Back Output         0
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1625 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
[1625000] Saving Write Back Output         0
[1635000] Saving Write Back Output         1
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1635 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1645 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
[1645000] Saving Write Back Output      1403
[1655000] Saving Write Back Output         0
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1655 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1655 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1665 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1665 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1665000] Saving Write Back Output         0
[1675000] Saving Write Back Output        15
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1675 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1685000] Saving Write Back Output         0
[1695000] Saving Write Back Output        13
[1705000] Saving Write Back Output     24576
[1715000] Saving Write Back Output         6
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1725 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
[1725000] Saving Write Back Output         1
[1735000] Saving Write Back Output      1032
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1735 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1735 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1745 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1745 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1745000] Saving Write Back Output        29
[1755000] Saving Write Back Output         0
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1755 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1755 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1765 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1765000] Saving Write Back Output        37
[1775000] Saving Write Back Output         0
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1775 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1785 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1785 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1785000] Saving Write Back Output        32
[1795000] Saving Write Back Output      1756
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1795 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1795 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
